	log_likelihood
1383	5.842173
1384	16.001198
1385	17.112558
1386	20.195774
1387	16.990984
1388	17.193012
1389	20.77444
1390	16.775097
1391	17.36214
1392	15.059186
1393	23.168427
1394	15.823793
1395	19.436218
1396	17.55657
1397	18.19088
1398	15.669533
1399	20.743706
1400	18.293419
1401	14.572004
1402	20.427746
1403	12.285492
1404	15.010327
1405	16.770094
1406	15.692856
1407	19.973099
1408	18.224155
1409	16.836208
1410	20.79581
1411	17.071148
1412	22.83686
1413	20.276148
1414	23.30785
1415	20.184109
1416	21.185373
1417	17.705349
1418	17.235424
1419	23.453873
1420	20.56428
1421	10.517107
1422	15.991275
1423	16.011633
1424	18.082111
1425	13.642903
1426	17.166124
1427	8.725597
1428	16.51923
1429	20.059368
1430	17.456318
1431	17.734238
1432	17.401722
1433	11.654784
1434	19.557219
1435	21.55524
1436	17.068096
1437	7.851091
1438	16.503948
1439	23.183275
1440	15.78813
1441	24.011784
1442	18.956589
1443	20.168798
1444	21.850338
1445	15.156354
1446	23.103693
1447	18.504478
1448	14.745013
1449	20.70576
1450	18.010752
1451	1.2896737
1452	17.64622
1453	22.852547
1454	11.074232
1455	15.03771
1456	16.289255
1457	19.292194
1458	5.4774947
1459	12.894717
1460	17.146107
1461	16.423344
1462	18.094828
1463	9.688207
1464	13.428424
1465	21.869408
1466	7.6704073
1467	12.77052
1468	15.134634
1469	18.222303
1470	8.906894
1471	11.032862
1472	23.632156
1473	22.17718
1474	10.537538
1475	16.419699
1476	21.659
1477	14.727697
1478	16.57246
1479	7.204889
1480	15.909327
1481	17.024061
1482	14.66024
1483	11.656368
1484	6.1138887
1485	15.558011
1486	11.846435
1487	17.568966
1488	20.317463
1489	19.455252
1490	20.544641
1491	12.808217
1492	14.469652
1493	22.49369
1494	18.389301
1495	17.122702
1496	21.742992
1497	15.981188
1498	19.739233
1499	13.773966
1500	17.118908
1501	16.5365
1502	21.281885
1503	12.98894
1504	19.957151
1505	17.66821
1506	18.331474
1507	11.555494
1508	1.1248325
1509	15.984871
1510	5.5432315
1511	14.763324
1512	15.11274
1513	17.746216
1514	15.07536
1515	19.310785
1516	19.638464
1517	14.924242
1518	16.65709
1519	23.890354
1520	16.618069
1521	18.645954
1522	0.9860414
1523	12.50427
1524	15.299498
1525	21.941626
1526	19.562475
1527	17.071117
1528	16.509281
1529	21.26154
1530	13.6379795
1531	16.318241
1532	17.916595
1533	15.833197
1534	20.97244
1535	18.752176
1536	20.600632
1537	15.144603
1538	18.255627
1539	18.46589
1540	19.695007
1541	17.76724
1542	17.793695
1543	14.668875
1544	9.181593
1545	20.02824
1546	17.771221
1547	13.630862
1548	3.892601
1549	16.275686
1550	18.078539
1551	12.179506
1552	18.238926
1553	19.75661
1554	19.65237
1555	15.235738
1556	15.959844
1557	18.100681
1558	17.15527
1559	18.655685
1560	16.139664
1561	15.222769
1562	20.661564
1563	16.074505
1564	19.655691
1565	18.820248
1566	15.276527
1567	20.603764
1568	17.438839
1569	15.8538685
1570	15.07311
1571	18.766937
1572	20.370583
1573	19.474836
1574	18.881395
1575	-2.6086075
1576	17.335173
1577	17.838968
1578	17.662258
1579	21.507559
1580	19.872402
1581	17.731138
1582	19.452087
1583	18.449324
1584	20.265247
1585	19.133852
1586	18.60152
1587	17.127108
1588	-8.72328
1589	14.089618
1590	18.5785
1591	19.013498
1592	22.502651
1593	21.95734
1594	18.238695
1595	17.643751
1596	15.430341
1597	14.890419
1598	20.70881
1599	13.280939
1600	19.980652
1601	16.387783
1602	23.019323
1603	22.69714
1604	16.95543
1605	6.4001403
1606	17.644688
1607	20.05573
1608	16.895128
1609	8.536255
1610	20.948948
1611	18.056154
1612	19.329983
1613	15.423528
1614	14.183176
1615	19.619257
1616	18.128565
1617	15.676761
1618	25.229134
1619	20.283054
1620	18.599247
1621	20.458824
1622	13.572815
1623	20.034168
1624	11.073214
1625	18.507153
1626	20.44183
1627	21.524366
1628	22.32942
1629	18.628078
1630	16.498638
1631	19.242683
1632	10.223604
1633	16.809072
1634	15.685608
1635	14.178543
1636	16.772465
1637	18.48766
1638	14.297315
1639	16.11173
1640	14.939026
1641	15.25903
1642	10.195059
1643	7.5495577
1644	15.167345
1645	23.040478
1646	17.558441
1647	16.903965
1648	19.563177
1649	19.556898
1650	17.381487
1651	23.960733
1652	17.685284
1653	16.401695
1654	13.543068
1655	23.2374
1656	20.349861
1657	17.880415
1658	22.448437
1659	9.822034
1660	12.315802
1661	7.8001466
1662	14.248012
1663	13.835442
1664	15.284025
1665	17.509315
1666	16.726768
1667	15.350156
1668	20.249754
1669	24.07597
1670	15.389874
1671	21.75
1672	18.761656
1673	13.063375
1674	18.918533
1675	14.7560215
1676	19.247768
1677	15.204425
1678	16.785765
1679	21.755037
1680	22.454212
1681	22.163221
1682	18.63789
1683	16.072124
1684	14.697223
1685	14.702185
1686	16.75642
1687	18.383493
1688	17.298407
1689	11.426768
1690	23.998554
1691	20.255505
1692	19.768463
1693	20.681545
1694	17.22318
1695	20.004221
1696	22.121256
1697	21.488234
1698	10.417816
1699	18.017584
1700	23.690195
1701	24.155584
1702	15.641805
1703	9.227005
1704	13.597666
1705	17.870174
1706	15.536914
1707	17.90659
1708	15.722687
1709	21.244328
1710	20.423847
1711	18.460499
1712	16.207642
1713	13.00222
1714	19.825497
1715	16.282667
1716	22.744984
1717	22.243107
1718	14.99806
1719	16.44276
1720	-1.4378997
1721	16.831194
1722	15.427742
1723	20.29503
1724	18.637802
1725	11.9438095
1726	12.699986
1727	23.340769
1728	11.100691
1729	21.886524
1730	16.316072
1731	18.951824
1732	19.712803
1733	20.651829
1734	-4.8804884
1735	22.08041
1736	16.618689
1737	24.396748
1738	19.983618
1739	20.65331
1740	11.05675
1741	19.069536
1742	17.945988
1743	18.405426
1744	16.528347
1745	5.787905
1746	12.043426
1747	23.679008
1748	14.739603
1749	21.705112
1750	15.93967
1751	14.766821
1752	19.971043
1753	21.837553
1754	18.16216
1755	22.252747
1756	18.980312
1757	23.101131
1758	16.793026
1759	19.096182
1760	15.209024
1761	14.007794
1762	12.989006
1763	21.190851
1764	22.18613
1765	3.7097378
1766	10.81262
1767	13.10892
1768	19.062353
1769	18.414515
1770	18.41935
1771	19.167587
1772	19.271664
1773	15.250381
1774	22.429178
1775	14.571062
1776	20.00423
1777	18.383005
1778	0.65747344
1779	21.710001
1780	9.1462965
1781	19.0121
1782	10.450556
1783	19.247112
1784	17.043304
1785	16.892183
1786	20.627186
1787	18.140102
1788	13.902727
1789	19.78515
1790	19.510136
1791	16.658133
1792	15.822359
1793	17.307705
1794	22.418003
1795	17.927528
1796	18.313416
1797	21.530361
1798	16.007578
1799	15.407727
1800	9.239538
1801	22.168957
1802	16.559845
1803	15.320219
1804	17.939478
1805	16.445293
1806	22.540417
1807	16.908636
1808	-4.034933
1809	15.690237
1810	14.991426
1811	9.938693
1812	17.66109
1813	13.2862625
1814	9.156425
1815	15.820727
1816	16.265415
1817	21.8605
1818	19.559408
1819	18.064661
1820	17.77599
1821	22.20351
1822	18.31703
1823	15.550687
1824	20.096867
1825	16.638706
1826	16.183353
1827	16.446371
1828	18.602633
1829	5.8738604
1830	12.002327
1831	23.897804
1832	14.7876835
1833	22.985126
1834	19.046982
1835	13.484708
1836	19.29429
1837	10.097352
1838	20.297232
1839	17.589298
1840	2.4996486
1841	4.102044
1842	12.431419
1843	21.627045
1844	15.480501
1845	20.712772
1846	14.651365
1847	20.09647
1848	17.39167
1849	19.25899
1850	10.799489
1851	13.355192
1852	7.912814
1853	19.198547
1854	8.787229
1855	22.774113
1856	22.255762
1857	18.756178
1858	16.285122
1859	20.969862
